district,sector,industry_opportunity_score,training_pressure_score,evidence_confidence,projection_available,industry_size,organization_count,candidate_aspiration,mssds_trained_2022_23,dsdp_training,projected_training,source,normalized_district,normalized_sector
Buldhana,Apparel,2.79,,0.5,False,,,126.0,380.0,300.0,,mssds_2023_projection_merged.csv,buldhana,apparel
Buldhana,Automotive,4.23,,0.83,False,769.0,6.0,92.0,75.0,90.0,,mssds_2023_projection_merged.csv,buldhana,automotive
Buldhana,Beauty & Wellness,2.79,,0.83,False,516.0,2.0,163.0,119.0,120.0,,mssds_2023_projection_merged.csv,buldhana,beauty & wellness
Buldhana,BFSI,8.82,,0.67,False,2920.0,6.0,302.0,,180.0,,mssds_2023_projection_merged.csv,buldhana,bfsi
Buldhana,Capital Goods,2.69,,0.67,False,92.0,6.0,14.0,,1459.0,,mssds_2023_projection_merged.csv,buldhana,capital goods
Buldhana,Electronics,4.47,51.52,1.0,True,146.0,3.0,393.0,320.0,0.0,340.0,mssds_2023_projection_merged.csv,buldhana,electronics
Buldhana,Green Jobs,1.46,,0.33,True,,,66.0,,,0.0,mssds_2023_projection_merged.csv,buldhana,green jobs
Buldhana,Healthcare,10.26,,0.33,False,,,464.0,,60.0,,mssds_2023_projection_merged.csv,buldhana,healthcare
Buldhana,Iron & Steel,1.54,,0.5,False,253.0,2.0,48.0,,,,mssds_2023_projection_merged.csv,buldhana,iron & steel
Buldhana,IT/ITeS,5.81,0.0,1.0,True,5.0,5.0,485.0,173.0,210.0,0.0,mssds_2023_projection_merged.csv,buldhana,it/ites
Buldhana,Logistics,0.71,,0.5,False,,1.0,2.0,,150.0,,mssds_2023_projection_merged.csv,buldhana,logistics
Buldhana,Management,5.63,,0.5,False,199.0,10.0,162.0,,,,mssds_2023_projection_merged.csv,buldhana,management
Buldhana,Media & Entertainment,1.44,,0.5,False,,,65.0,120.0,180.0,,mssds_2023_projection_merged.csv,buldhana,media & entertainment
Buldhana,Persons with Disability,,,0.17,False,,,,,60.0,,mssds_2023_projection_merged.csv,buldhana,persons with disability
Buldhana,Plumbing,,,0.33,False,,,,49.0,60.0,,mssds_2023_projection_merged.csv,buldhana,plumbing
Buldhana,Retail,,,0.33,True,,,,,150.0,0.0,mssds_2023_projection_merged.csv,buldhana,retail
Buldhana,Rubber,0.49,,0.5,False,50.0,1.0,2.0,,,,mssds_2023_projection_merged.csv,buldhana,rubber
Buldhana,Telecom,0.58,0.0,1.0,True,40.0,1.0,15.0,150.0,150.0,0.0,mssds_2023_projection_merged.csv,buldhana,telecom
Buldhana,Tourism & Hospitality,2.31,,0.67,False,,1.0,126.0,524.0,210.0,,mssds_2023_projection_merged.csv,buldhana,tourism & hospitality
Chandrapur,Aerospace & Aviation,2.03,,0.17,False,,,92.0,,,,mssds_2023_projection_merged.csv,chandrapur,aerospace & aviation
Chandrapur,Agriculture,4.31,,0.83,True,37.0,5.0,286.0,,300.0,230.0,mssds_2023_projection_merged.csv,chandrapur,agriculture
Chandrapur,Automotive,9.78,,0.83,False,2832.0,11.0,176.0,49.0,360.0,,mssds_2023_projection_merged.csv,chandrapur,automotive
Chandrapur,Beauty & Wellness,4.15,,0.67,False,,1.0,269.0,270.0,180.0,,mssds_2023_projection_merged.csv,chandrapur,beauty & wellness
Chandrapur,BFSI,9.6,,0.5,False,3111.0,8.0,263.0,,,,mssds_2023_projection_merged.csv,chandrapur,bfsi
Chandrapur,Construction,4.49,,0.83,True,88.0,3.0,406.0,,90.0,630.0,mssds_2023_projection_merged.csv,chandrapur,construction
Chandrapur,Electronics,4.33,0.0,1.0,True,29.0,2.0,448.0,342.0,90.0,0.0,mssds_2023_projection_merged.csv,chandrapur,electronics
Chandrapur,Green Jobs,1.53,0.0,0.67,True,,,69.0,150.0,120.0,0.0,mssds_2023_projection_merged.csv,chandrapur,green jobs
Chandrapur,Handicraft & Carpet,0.73,,0.33,False,,,33.0,,120.0,,mssds_2023_projection_merged.csv,chandrapur,handicraft & carpet
Chandrapur,Iron & Steel,1.56,,0.67,False,254.0,2.0,51.0,,360.0,,mssds_2023_projection_merged.csv,chandrapur,iron & steel
Chandrapur,Logistics,0.42,,0.33,False,,,19.0,,90.0,,mssds_2023_projection_merged.csv,chandrapur,logistics
Chandrapur,Management,2.21,,0.67,False,158.0,3.0,99.0,,210.0,,mssds_2023_projection_merged.csv,chandrapur,management
Chandrapur,Mining,1.37,,0.33,False,,,62.0,,1100.0,,mssds_2023_projection_merged.csv,chandrapur,mining
Chandrapur,Paints & Coatings,0.27,,0.33,False,,,12.0,,120.0,,mssds_2023_projection_merged.csv,chandrapur,paints & coatings
Chandrapur,Power,3.27,,0.5,False,,,148.0,118.0,90.0,,mssds_2023_projection_merged.csv,chandrapur,power
Dhule,Agriculture,2.12,52.08,1.0,True,56.0,3.0,105.0,368.0,750.0,400.0,mssds_2023_projection_merged.csv,dhule,agriculture
Dhule,Apparel,1.47,,0.83,False,1.0,2.0,84.0,368.0,780.0,,mssds_2023_projection_merged.csv,dhule,apparel
Dhule,Automotive,2.76,,0.83,False,663.0,3.0,80.0,60.0,330.0,,mssds_2023_projection_merged.csv,dhule,automotive
Dhule,Beauty & Wellness,1.45,,0.83,False,0.0,1.0,134.0,250.0,240.0,,mssds_2023_projection_merged.csv,dhule,beauty & wellness
Dhule,BFSI,8.16,,0.83,False,2920.0,6.0,216.0,61.0,150.0,,mssds_2023_projection_merged.csv,dhule,bfsi
Dhule,Capital Goods,0.22,,0.5,False,,,10.0,232.0,570.0,,mssds_2023_projection_merged.csv,dhule,capital goods
Dhule,Construction,1.2,,0.83,True,23.0,1.0,98.0,,270.0,300.0,mssds_2023_projection_merged.csv,dhule,construction
Dhule,Electronics,1.49,0.0,1.0,True,1.0,1.0,139.0,1052.0,1290.0,0.0,mssds_2023_projection_merged.csv,dhule,electronics
Dhule,Food Processing,2.33,,0.83,False,504.0,2.0,105.0,120.0,360.0,,mssds_2023_projection_merged.csv,dhule,food processing
Dhule,Green Jobs,0.49,0.0,0.67,True,,,22.0,60.0,120.0,0.0,mssds_2023_projection_merged.csv,dhule,green jobs
Dhule,Healthcare,5.95,,0.33,False,,,269.0,,780.0,,mssds_2023_projection_merged.csv,dhule,healthcare
Dhule,Iron & Steel,0.81,,0.5,False,250.0,1.0,7.0,,,,mssds_2023_projection_merged.csv,dhule,iron & steel
Dhule,IT/ITeS,6.07,0.0,1.0,True,4.0,2.0,678.0,120.0,450.0,0.0,mssds_2023_projection_merged.csv,dhule,it/ites
Dhule,Life Science,2.85,,0.5,False,,,129.0,30.0,270.0,,mssds_2023_projection_merged.csv,dhule,life science
Dhule,Logistics,0.09,,0.5,False,,,4.0,120.0,240.0,,mssds_2023_projection_merged.csv,dhule,logistics
Dhule,Management,3.25,,0.83,False,1058.0,3.0,73.0,90.0,90.0,,mssds_2023_projection_merged.csv,dhule,management
Dhule,Media & Entertainment,2.17,,0.5,False,,,98.0,540.0,420.0,,mssds_2023_projection_merged.csv,dhule,media & entertainment
Dhule,Paints & Coatings,0.13,,0.33,False,,,6.0,,60.0,,mssds_2023_projection_merged.csv,dhule,paints & coatings
Dhule,Plumbing,0.22,,0.5,False,,,10.0,30.0,90.0,,mssds_2023_projection_merged.csv,dhule,plumbing
Dhule,Power,1.44,,0.5,False,,,65.0,90.0,150.0,,mssds_2023_projection_merged.csv,dhule,power
Dhule,Retail,,,0.33,True,,,,,120.0,0.0,mssds_2023_projection_merged.csv,dhule,retail
Dhule,Sports,1.42,,0.33,False,,,64.0,,60.0,,mssds_2023_projection_merged.csv,dhule,sports
Dhule,Telecom,0.15,0.0,0.67,True,,,7.0,390.0,120.0,0.0,mssds_2023_projection_merged.csv,dhule,telecom
Dhule,Textile,0.84,,0.67,False,,1.0,12.0,150.0,630.0,,mssds_2023_projection_merged.csv,dhule,textile
Dhule,Tourism & Hospitality,0.38,,0.5,False,,,17.0,450.0,90.0,,mssds_2023_projection_merged.csv,dhule,tourism & hospitality
Gadchiroli,Agriculture,2.36,88.54,1.0,True,26.0,3.0,142.0,202.0,600.0,1561.0,mssds_2023_projection_merged.csv,gadchiroli,agriculture
Gadchiroli,Apparel,1.84,,0.5,False,,,83.0,143.0,180.0,,mssds_2023_projection_merged.csv,gadchiroli,apparel
